condition,window,abs_position,norm,critic_mse,critic_cos
C3_creative_handcuffs,mid,136,124.57135009765625,0.14771239459514618,0.9261437654495239
C3_creative_handcuffs,mid,137,112.34268951416016,0.19903624057769775,0.9004819393157959
C3_creative_handcuffs,mid,138,118.18983459472656,0.14232531189918518,0.9288374185562134
C3_creative_handcuffs,mid,139,120.8629150390625,0.12054748088121414,0.9397264122962952
C3_creative_handcuffs,mid,140,109.34471130371094,0.1294516772031784,0.9352740049362183
C3_creative_handcuffs,mid,141,124.3928451538086,0.16383503377437592,0.9180824756622314
C3_creative_handcuffs,mid,142,126.62741088867188,0.14550559222698212,0.927247166633606
C3_creative_handcuffs,mid,143,121.18096923828125,0.18072234094142914,0.9096389412879944
C3_creative_handcuffs,late,210,117.63130187988281,0.1037600114941597,0.9481200575828552
C3_creative_handcuffs,late,211,123.11787414550781,0.09715811163187027,0.9514208436012268
C3_creative_handcuffs,late,212,128.5989227294922,0.17075106501579285,0.9146246314048767
C3_creative_handcuffs,late,213,120.54912567138672,0.12952382862567902,0.9352380633354187
