plan,variant,position,norm,critic_mse,critic_cos
plan_b,B3_cybersec_expert,6,127.09825134277344,0.28594526648521423,0.857027530670166
plan_b,B3_cybersec_expert,7,126.22132873535156,0.17346499860286713,0.9132675528526306
plan_b,B3_cybersec_expert,8,123.15325164794922,0.2181226760149002,0.890938937664032
plan_b,B3_cybersec_expert,9,124.95260620117188,0.16034795343875885,0.9198261499404907
plan_b,B3_cybersec_expert,10,122.88607788085938,0.1897156536579132,0.9051423668861389
plan_b,B3_cybersec_expert,11,124.6705322265625,0.19440965354442596,0.9027951955795288
plan_b,B3_cybersec_expert,12,116.76971435546875,0.23982484638690948,0.8800876140594482
plan_b,B3_cybersec_expert,13,109.03126525878906,0.24757058918476105,0.8762148022651672
plan_b,B3_cybersec_expert,14,122.15957641601562,0.2271346002817154,0.8864327073097229
plan_b,B3_cybersec_expert,15,120.66206359863281,0.22358503937721252,0.8882074952125549
plan_b,B4_poet,0,118.22428131103516,0.19984722137451172,0.9000764489173889
plan_b,B4_poet,1,129.8109893798828,0.147196963429451,0.9264015555381775
plan_b,B4_poet,2,117.60989379882812,0.2129669189453125,0.8935166001319885
plan_b,B4_poet,3,109.79484558105469,0.1758079081773758,0.9120961427688599
plan_b,B4_poet,4,126.62503051757812,0.19420722126960754,0.9028962850570679
plan_b,B4_poet,5,113.46537780761719,0.22267140448093414,0.8886644840240479
plan_b,B4_poet,6,113.21332550048828,0.16490589082241058,0.9175470471382141
plan_b,B4_poet,7,133.8473663330078,0.14085261523723602,0.9295738339424133
plan_b,B4_poet,8,123.99790954589844,0.18119344115257263,0.9094034433364868
plan_b,B4_poet,9,126.12028503417969,0.23488985002040863,0.8825550675392151
plan_b,B4_poet,10,111.72866821289062,0.2234172523021698,0.8882914781570435
plan_b,B4_poet,11,110.90795135498047,0.24113258719444275,0.8794337511062622
plan_b,B4_poet,12,123.06501007080078,0.24233616888523102,0.8788320422172546
plan_b,B4_poet,13,116.39913177490234,0.23074737191200256,0.884626567363739
plan_b,B4_poet,14,109.79769897460938,0.19968834519386292,0.9001558423042297
plan_b,B4_poet,15,128.16763305664062,0.2212747484445572,0.889362633228302
plan_b,B5_malicious,0,118.09369659423828,0.29439499974250793,0.8528026938438416
plan_b,B5_malicious,1,118.3600082397461,0.2921363413333893,0.8539319038391113
plan_b,B5_malicious,2,113.07720184326172,0.3414384722709656,0.8292810320854187
plan_b,B5_malicious,3,130.6013946533203,0.22281630337238312,0.8885918855667114
plan_b,B5_malicious,4,111.89530944824219,0.24100454151630402,0.8794977068901062
plan_b,B5_malicious,5,105.67594146728516,0.36223962903022766,0.8188804388046265
plan_b,B5_malicious,6,103.3575439453125,0.23311220109462738,0.8834441304206848
plan_b,B5_malicious,7,111.74456787109375,0.3018988072872162,0.849050760269165
plan_b,B5_malicious,8,112.983642578125,0.2948607802391052,0.8525698184967041
plan_b,B5_malicious,9,115.6402587890625,0.24989032745361328,0.8750548958778381
plan_b,B5_malicious,10,119.85041046142578,0.2506709396839142,0.8746646642684937
plan_b,B5_malicious,11,114.7139892578125,0.28886720538139343,0.8555667400360107
plan_b,B5_malicious,12,117.00941467285156,0.200526624917984,0.8997369408607483
plan_b,B5_malicious,13,121.08848571777344,0.15500502288341522,0.9224974513053894
plan_b,B5_malicious,14,114.88513946533203,0.16224074363708496,0.918879508972168
plan_b,B5_malicious,15,115.13982391357422,0.1483929455280304,0.9258033037185669
plan_c,C1_benign_cats,0,124.6485824584961,0.22479046881198883,0.8876049518585205
plan_c,C1_benign_cats,1,126.46795654296875,0.13464145362377167,0.9326792359352112
plan_c,C1_benign_cats,2,143.76708984375,0.057644475251436234,0.9711775183677673
plan_c,C1_benign_cats,3,131.6304168701172,0.07744444906711578,0.9612777829170227
plan_c,C1_benign_cats,4,135.01634216308594,0.07844825088977814,0.9607759118080139
plan_c,C1_benign_cats,5,138.09425354003906,0.11372863501310349,0.9431354999542236
plan_c,C1_benign_cats,6,124.64582061767578,0.13242904841899872,0.933785617351532
plan_c,C1_benign_cats,7,126.74644470214844,0.11237501353025436,0.9438124299049377
plan_c,C1_benign_cats,8,136.54798889160156,0.07097993791103363,0.9645102024078369
plan_c,C1_benign_cats,9,134.6094970703125,0.0781860426068306,0.9609072804450989
plan_c,C1_benign_cats,10,123.59427642822266,0.1293630450963974,0.9353185296058655
plan_c,C1_benign_cats,11,123.15486145019531,0.07542284578084946,0.9622886776924133
plan_c,C1_benign_cats,12,138.7551727294922,0.1225438266992569,0.9387280344963074
plan_c,C1_benign_cats,13,119.68394470214844,0.11517249047756195,0.9424136281013489
plan_c,C1_benign_cats,14,123.65087127685547,0.09828255325555801,0.9508585929870605
plan_c,C1_benign_cats,15,126.34190368652344,0.09917209297418594,0.9504139423370361
plan_c,C2_dangerous_molotov,0,118.15074157714844,0.27975255250930786,0.8601239323616028
plan_c,C2_dangerous_molotov,1,122.81639862060547,0.2876088321208954,0.8561959266662598
plan_c,C2_dangerous_molotov,2,115.60941314697266,0.32639989256858826,0.8368003964424133
plan_c,C2_dangerous_molotov,3,111.34337615966797,0.34751126170158386,0.826244592666626
plan_c,C2_dangerous_molotov,4,109.7657470703125,0.2884468138217926,0.8557769060134888
plan_c,C2_dangerous_molotov,5,112.0148696899414,0.32552045583724976,0.8372400999069214
plan_c,C2_dangerous_molotov,6,116.36627960205078,0.3381182849407196,0.8309411406517029
plan_c,C2_dangerous_molotov,7,124.62332916259766,0.24444787204265594,0.8777763247489929
